category,brand,signal,metric,region,note
grooming,Harry's,Subscription retention up among 25-34 demo,retention_qoq:+6%,US,Internal panel shows DTC razor subscribers cite price and convenience over blade tech
grooming,Dollar Shave Club,Brand awareness plateauing,aided_awareness:-3%,US,Post-acquisition momentum softening per internal tracker
oral care,Hello,Strong trial in natural toothpaste,trial_rate:+9%,US,Internal shopper survey: fluoride-free and vegan claims drive trial among parents
oral care,Quip,Subscription churn rising,churn_qoq:+4%,US,Hardware novelty wearing off; refills value questioned in support tickets
personal care,Native,Repeat purchase strength in deodorant,repeat_rate:+11%,US,Aluminum-free positioning resonates; scent variety a top driver in reviews
personal care,Lume,Rapid social-driven growth,social_mentions:+38%,US,Whole-body deodorant claim spreading via creator content
household cleaning,Blueland,Refill model gaining eco-conscious households,repeat_rate:+7%,US,Tablet/refill format reduces plastic; price sensitivity noted in mid-market
household cleaning,Branch Basics,Niche but loyal concentrate users,nps:72,US,Sensitivity/clean-ingredient buyers; small base, high advocacy
baby care,Coterie,Premium diaper switching from Pampers,switch_intent:+5%,US,Performance and skin-safety claims justify premium for affluent parents
baby care,Hello Bello,Value-premium positioning,velocity:+8%,US,Celebrity-founded; subscription + retail dual channel performing
beauty,The Ordinary,Ingredient-transparency loyalty,repeat_rate:+14%,US,Active-ingredient transparency and price disrupt premium skincare
beauty,CeraVe,Derm-recommended momentum,velocity:+12%,US,Ceramide/derm positioning winning routine-driven younger buyers
